21,Bangalore,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UB_City_at_night_.jpg/500px-UB_City_at_night_.jpg,,,,,,,,,"INSERT INTO table_name VALUES('22','Tehran','http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Tehran_sky.jpg/500px-Tehran_sky.jpg');"
22,Tehran,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Tehran_sky.jpg/500px-Tehran_sky.jpg,,,,,,,,,"INSERT INTO table_name VALUES('23','Kinshasa','http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vue_Kinshasa.jpg/500px-Vue_Kinshasa.jpg');"
23,Kinshasa,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vue_Kinshasa.jpg/500px-Vue_Kinshasa.jpg,,,,,,,,,"INSERT INTO table_name VALUES('24','Ho Chi Minh City','http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Ho_Chi_Minh_City_Skyline_%28night%29.jpg/500px-Ho_Chi_Minh_City_Skyline_%28night%29.jpg');"
24,Ho Chi Minh City,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Ho_Chi_Minh_City_Skyline_%28night%29.jpg/500px-Ho_Chi_Minh_City_Skyline_%28night%29.jpg,,,,,,,,,"INSERT INTO table_name VALUES('25','Los Angeles','http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wiki_training_0226.jpg/500px-Wiki_training_0226.jpg');"
25,Los Angeles,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wiki_training_0226.jpg/500px-Wiki_training_0226.jpg,,,,,,,,,"INSERT INTO table_name VALUES('26','Rio de Janeiro','http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Enseada_de_Botafogo_e_P%C3%A3o_de_A%C3%A7%C3%BAcar.jpg/500px-Enseada_de_Botafogo_e_P%C3%A3o_de_A%C3%A7%C3%BAcar.jpg');"
26,Rio de Janeiro,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Enseada_de_Botafogo_e_P%C3%A3o_de_A%C3%A7%C3%BAcar.jpg/500px-Enseada_de_Botafogo_e_P%C3%A3o_de_A%C3%A7%C3%BAcar.jpg,,,,,,,,,"INSERT INTO table_name VALUES('27','Baoding','http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Baoding_001.jpg/500px-Baoding_001.jpg');"
27,Baoding,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Baoding_001.jpg/500px-Baoding_001.jpg,,,,,,,,,"INSERT INTO table_name VALUES('28','Chennai','http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Chennai_-_bird%27s-eye_view.jpg/500px-Chennai_-_bird%27s-eye_view.jpg');"
28,Chennai,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Chennai_-_bird%27s-eye_view.jpg/500px-Chennai_-_bird%27s-eye_view.jpg,,,,,,,,,"INSERT INTO table_name VALUES('29','Chengdu','http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/%E6%88%90%E9%83%BD%E5%A4%A7%E7%86%8A%E7%8C%AB%E7%B9%81%E8%82%B2%E7%A0%94%E7%A9%B6%E5%9F%BA%E5%9C%B0_-_panoramio_%287%29.jpg/500px-%E6%88%90%E9%83%BD%E5%A4%A7%E7%86%8A%E7%8C%AB%E7%B9%81%E8%82%B2%E7%A0%94%E7%A9%B6%E5%9F%BA%E5%9C%B0_-_panoramio_%287%29.jpg');"
29,Chengdu,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/%E6%88%90%E9%83%BD%E5%A4%A7%E7%86%8A%E7%8C%AB%E7%B9%81%E8%82%B2%E7%A0%94%E7%A9%B6%E5%9F%BA%E5%9C%B0_-_panoramio_%287%29.jpg/500px-%E6%88%90%E9%83%BD%E5%A4%A7%E7%86%8A%E7%8C%AB%E7%B9%81%E8%82%B2%E7%A0%94%E7%A9%B6%E5%9F%BA%E5%9C%B0_-_panoramio_%287%29.jpg,,,,,,,,,"INSERT INTO table_name VALUES('30','Lahore','http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lahore_collage.jpg/311px-Lahore_collage.jpg');"
30,Lahore,http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lahore_collage.jpg/311px-Lahore_collage.jpg,,,,,,,,,"INSERT INTO table_name VALUES('31','Paris','http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/500px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg');"
31,Paris,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg/500px-La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,,,,,,,,,"INSERT INTO table_name VALUES('32','London','http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/London_Montage_L.jpg/332px-London_Montage_L.jpg');"
32,London,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/London_Montage_L.jpg/332px-London_Montage_L.jpg,,,,,,,,,"INSERT INTO table_name VALUES('33','Linyi','http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Linyi_montage.png/352px-Linyi_montage.png');"
